Date,Title,Summary,Source,URL
20120215,"TESLA MOTORS, INC. FOURTH QUARTER AND FULL YEAR 2011 SHAREHOLDER LETTER","Tesla Motors, Inc. released its Fourth Quarter and Full Year 2011 Shareholder Letter, highlighting planned Model S deliveries by July 2012, the premiere of the new Model X, and a new Mercedes-Benz EV powertrain program. The company reported $204 million in revenue for 2011 and anticipates $550-600 million in 2012, while continuing planned investments in R&D and infrastructure, expecting net losses until Model S volume sales in 2013. The letter also details store expansion, growing Model S reservations exceeding 8,000, and deepening partnerships with Daimler and Toyota.",SEC.gov,https://www.sec.gov/Archives/edgar/data/1318605/000119312512063402/d299083dex991.htm
20120220,"Tesla Model X, And The Curse Of Gull-Wing Doors","This article discusses the design choice of Tesla's Model X, specifically its ""Falcon doors,"" which closely resemble gull-wing doors. The author argues that while Tesla attempts to differentiate them and highlight their functionality, the association with previous cars featuring gull-wing doors, particularly in a family vehicle context, pushes the Model X into self-parody. The author contends that a minivan (in terms of functionality) will never be a sports car, despite Tesla's attempts to blend styles.",Fast Company,https://www.fastcompany.com/1669083/tesla-model-x-and-the-curse-of-gull-wing-doors-2
20120222,Tesla Battery 'Bricking': The Real Story Behind The Scare,"This article debunks a sensational blog post claiming that Tesla Roadster batteries were ""bricking"" due to a design flaw. It clarifies that battery ""bricking"" is a known risk for EVs if not charged, and Tesla explicitly warns owners to keep their cars plugged in, stating damage from not doing so is not covered under warranty. The article also highlights that the original blogger had a business relationship with the aggrieved Tesla owner.",Green Car Reports,https://www.greencarreports.com/news/1073289_tesla-battery-bricking-the-real-story-behind-the-post
20120319,Why Tesla Motors Is Betting On The Model S,"This article details Tesla Motors' strategy, as primarily articulated by CEO Elon Musk, focusing on the launch of the Model S sedan as a pivotal step in the company's long-term plan to produce increasingly affordable electric vehicles. It highlights Musk's vision to move away from fossil fuels and addresses criticisms of Tesla being an ""elitist"" company by emphasizing future plans for a mass-market electric car. The piece also notes the financial skepticism surrounding Tesla, with Musk confidently dismissing short-sellers.",Fast Company,https://www.fastcompany.com/1822809/why-tesla-motors-betting-model-s
20120508,Toyota Unveils 'RAV4 EV' Jointly Developed with Tesla,"Toyota Motor Corporation announced the unveiling of the Toyota ""RAV4 EV,"" an all-electric compact SUV developed in collaboration with Tesla Motors, Inc. This vehicle, featuring a Tesla electric powertrain, boasts a cruising range of approximately 100 miles and is set to launch in California in late summer 2012. Toyota plans to sell about 2,600 units over three years, continuing its efforts to promote alternative energy sources in vehicles.",トヨタ自動車株式会社 公式企業サイト,https://global.toyota/en/detail/152289
20120529,Elon Musk: Is he the real-life Tony Stark?,"This article draws parallels between Elon Musk and the fictional character Tony Stark (Iron Man), highlighting Musk's entrepreneurial ventures in electric vehicles, space exploration, and solar energy. It discusses his past successes, such as PayPal, and acknowledges the ""Tony Stark"" comparisons made by the public and even an Iron Man movie director. However, it also touches upon the personal and financial challenges Musk has faced despite his outward success.",The Columbus Dispatch,https://www.dispatch.com/story/business/2012/05/29/elon-musk-is-he-real/23822425007/
20120622,Inside The Tesla Model S,"This article reviews the Tesla Model S upon its debut, highlighting its features, driving experience, and market positioning. It praises the car's performance, range, and technological innovations like the large touchscreen and remote updates, while also addressing concerns about charging infrastructure and its luxury price point. The author concludes that the Model S aims to compete with high-end sedans and demonstrates Tesla's ambition to revolutionize the electric vehicle industry.",Fast Company,https://www.fastcompany.com/1680069/inside-the-tesla-model-s
20120623,First Tesla electric sedans hit the road,"Tesla's first mass-market sedans, the Model S, began rolling out of its Fremont factory on June 22, 2012, marking a crucial moment for the electric car maker. With over 10,000 refundable deposits, the company aims to sell 5,000 units this year, hoping the Model S will drive them toward profitability after previous losses. The base model is priced at $49,900 after federal tax credits and boasts a 160-mile range on a single charge.",Phys.org,https://phys.org/news/2012-06-tesla-electric-sedans-road.html
20120626,Tesla Model S Electric Car Uses Panasonic Lithium Ion Batteries,"The article announces that the new Tesla Model S electric car utilizes lithium-ion batteries supplied by Panasonic. Tesla plans significant production numbers for 2012 and 2013, highlighting the Model S's advanced design, impressive range, and zero emissions. The collaboration between Tesla and Panasonic emphasizes the development of next-generation battery cells specifically optimized for electric vehicle performance and longevity.",Advanced Science News,https://www.advancedsciencenews.com/tesla-model-s-panasonic-lithium-ion-batteries/
20120627,Tesla Model S 2013 Review - International,"This article reviews the 2013 Tesla Model S, highlighting its performance, efficiency, and advanced technology as a distinctive electric vehicle. It discusses Tesla's vision to prove EVs can be superior to petrol cars, detailing the Model S's unique features, impressive acceleration, and long range. The review also touches upon initial production challenges, pricing for different variants, and the car's dynamic driving experience despite being electric.",Carsales,https://www.carsales.com.au/editorial/details/tesla-model-s-2013-quick-spin-31016/
20120803,Tesla produces its 1st 50 Model S sedans,"Tesla Motors Inc. announced it has produced its first 50 Model S luxury sedans and plans to accelerate production to meet a yearly target of 5,000 deliveries. The company also reported having 12,200 orders for the Model S. The article also touches on a copyright infringement settlement between SAP AG and Oracle Corp., and LinkedIn's stock performance after exceeding sales forecasts.",SFGATE,https://www.sfgate.com/business/article/Tesla-produces-its-1st-50-Model-S-sedans-3761807.php
20120817,Tesla's Musk gets option for 5.27 million shares as incentive,"Elon Musk has been granted an option to purchase 5.27 million shares in Tesla as an incentive. He can exercise this option at a price of $31.17 per share. The article was published on August 17, 2012.",Automotive News,https://www.autonews.com/article/20120817/ANE/308179927/tesla-s-musk-gets-option-for-5-27-million-shares-as-incentive/
20120819,California DMV - Plates & HOV Stickers | Page 59,"This discussion from the Tesla Motors Club forum addresses common questions and concerns among California Tesla owners regarding Clean Air Vehicle (CAV) decals and HOV lane access. Topics include applying for CAV decals with temporary license plates, the varying instructions for sticker placement from the DMV, and practical advice for applying the decals to preserve vehicle paint. The conversation highlights the confusion caused by inconsistent information from the California DMV on decal placement over time.",Tesla Motors Club,https://teslamotorsclub.com/tmc/threads/california-dmv-plates-hov-stickers.9789/page-59
20120911,2012 Tesla Model S [w/video],"This article provides a first-drive review of the 2012 Tesla Model S, highlighting its revolutionary design as the world's first practical, no-compromise electric vehicle. It details the Signature Performance model's specifications, driving dynamics, and innovative interior features like the 17-inch touchscreen, concluding that the Model S is an impressive and engaging sport sedan that will be considered a pioneering automobile.",Autoblog,https://www.autoblog.com/features/2012-tesla-model-s-first-drive-review-video
20120921,"Tesla's Model S coming soon, Elon Musk says","Tesla CEO Elon Musk confirmed that the Model S electric sedan is almost ready for customer deliveries, with the first two units already delivered to a board member and Musk himself for final quality control. The company expects to begin customer deliveries on June 22, 2012, with basic versions selling for $57,400 before incentives. Tesla aims to produce over 5,000 Model S sedans this year and 20,000 in 2013, forecasting a profit after selling approximately 8,000 units despite an $89.9 million loss in Q1.",SFGATE,https://www.sfgate.com/business/article/Tesla-s-Model-S-coming-soon-Elon-Musk-says-3614616.php
20120925,Tesla’s First Electric-Car 'Supercharger' Stations Now Live,"Tesla has launched its first ""Supercharger"" fast-charging stations, promising to add up to 150 miles of range to a Model S in 30 minutes. These proprietary stations are twice as powerful as other rapid charging standards and will initially serve 85-kWh Model S owners, with future expansion plans across the U.S. and solar-powered facilities. The initiative aims to dramatically improve long-distance electric car travel for Tesla owners.",Green Car Reports,https://www.greencarreports.com/news/1079388_teslas-first-electric-car-supercharger-stations-now-live
20120926,Tesla unveils faster electric car-charging station,"Tesla Motors Inc. unveiled a new solar-powered Supercharger station designed to quickly charge electric vehicles, making long-distance travel as convenient as stopping for gas. CEO Elon Musk stated these stations address key concerns about electric vehicles' range and convenience. The company plans to expand these charging stations across the US, with the first six already deployed in California.",Jamaica Gleaner,https://jamaica-gleaner.com/gleaner/20120926/business/business94.html
20120928,Tesla chief Elon Musk reaches for stars,"This article profiles Elon Musk, CEO of Tesla and SpaceX, highlighting his demanding leadership style and ambitious vision spanning electric cars, space exploration, and solar energy. It details his entrepreneurial journey, from PayPal to his current ventures, and his personal sacrifices in pursuit of groundbreaking innovations. The piece emphasizes his long-term goals of sustainable energy and multi-planetary existence, portraying him as a modern-day industrialist charting a course beyond incremental advancements.",SFGATE,https://www.sfgate.com/technology/article/Tesla-chief-Elon-Musk-reaches-for-stars-3887880.php
20121004,Romney Calls Tesla Electric Vehicles A 'Loser',"Republican presidential candidate Mitt Romney publicly labeled electric car makers Tesla and Fisker as ""losers,"" grouping them with bankrupt companies Ener1 and Solyndra. He criticized the Obama administration for providing $90 billion in loans and grants to green energy companies, implying that many were failing or politically connected. The article questions whether these claims are justified, noting that Fisker was still shipping cars and Tesla [NSDQ:TSLA] was delivering its Model S to thousands of depositors.",CBS News,https://www.cbsnews.com/losangeles/news/romney-calls-tesla-electric-vehicles-a-loser/
20121011,Tesla starts delivery out of former Nummi plant,"Tesla Motors began delivering its all-electric Model S luxury sedan from its Fremont factory, formerly the NUMMI plant. The reopening of the plant by Tesla, which now employs 850 people with plans to reach 1,000, has revitalized Fremont's economy after the closure of NUMMI and the bankruptcy of Solyndra. The article highlights the personal impact on former NUMMI employees now working for Tesla and the broader economic recovery of the city.",SFGATE,https://www.sfgate.com/business/article/Tesla-starts-delivery-out-of-former-Nummi-plant-3653530.php
20121011,Tesla & Fisker: The Game of Favorites,"This article contrasts the public reception and financial challenges of electric car manufacturers Tesla and Fisker. Despite similar struggles with government loans and developing affordable vehicles, Tesla, led by Elon Musk, consistently receives more favorable treatment and press compared to Fisker. The piece highlights their common issues with DOE loans, targeting millionaires, and difficulties in a challenging market for electric vehicles.",Inc.com,https://www.inc.com/jeremy-quittner/fisker-tesla-funding-faceoff.html
20121022,Tesla co-founder Elon Musk defends retail strategy,"Tesla co-founder Elon Musk defended the company's retail strategy, emphasizing the need to create a business model that promotes electric vehicle knowledge in a convenient and accessible way. This statement highlights Tesla's focus on an innovative approach to EV sales and customer education.",Automotive News,https://www.autonews.com/article/20121022/RETAIL07/121029979/tesla-co-founder-elon-musk-defends-retail-strategy/
20121102,Telsa Model S Is Car of the Year?,"Automobile magazine named the Tesla Model S its Car of the Year, despite the vehicle's high price tag and limited sales. The article expresses skepticism about Tesla's viability, noting the company's potential financial issues and the limited availability of charging stations. While praising the car's performance and technology, the author highlights the practical challenges faced by potential owners.",24/7 Wall St.,https://247wallst.com/autos/2012/11/02/telsa-model-s-is-car-of-the-year/
20121214,Model S Photo Gallery | Page 72,"This page from the Tesla Motors Club discussion forum's ""Model S Photo Gallery"" thread features user posts discussing modifications and appearances of their Tesla Model S vehicles. Discussions include satin wraps for Deep Blue Metallic Plaid models, chrome deletes, PPF wraps, wheel setups, and questions about rare Tesla paint colors like the Signature Red. Users share photos and details of their customizations, providing a visual and technical exchange among Tesla enthusiasts.",Tesla Motors Club,https://teslamotorsclub.com/tmc/threads/model-s-photo-gallery.11875/page-72
20121224,Tesla Supercharger Network Expands Into East Coast,"Tesla has expanded its Supercharger network to the East Coast, with new stations in Milford, Connecticut, and Wilmington, Delaware. These stations aim to enable long-distance travel for Tesla Model S owners by providing rapid charging, making a Boston-to-Washington D.C. trip feasible. The company plans to continue expanding the network, with a long-term goal of powering stations with solar energy.",Green Car Reports,https://www.greencarreports.com/news/1081323_tesla-supercharger-network-expands-into-east-coast
20130116,"Tesla Electric SUV Is Pretty, But Looks Aren’t Everything","Tesla Motors unveiled the Model X prototype at the 2013 North American International Auto Show in Detroit, an electric SUV with gull-wing doors and a 17-inch touchscreen. Despite its innovative design, the article questions the viability of electric vehicles for average consumers due to challenges with range, cost, and charging infrastructure. The success of the Model X is seen as dependent on the sales performance of the Model S sedan and Tesla's ability to overcome financial losses and expand its charging network.",International Business Times,https://www.ibtimes.com/detroit-auto-show-2013-tesla-motors-moving-forward-model-x-electric-suv-even-verdict-out-success-its
20130209,At what voltage does the Model S motor work ?,"A Tesla Motors Club discussion thread asks about the operating voltage of the Model S motor, with a user questioning how 320KW at 320 volts would lead to 1000 amps and the implications for wiring. Another user suggests looking at Roadster battery discussions for clues and explains the Model S inverter's integration with the motor.",Tesla Motors Club,https://teslamotorsclub.com/tmc/threads/at-what-voltage-does-the-model-s-motor-work.13668/
20130212,Tesla Calls NYT Electric Car Review a 'Fake',"Tesla CEO Elon Musk criticized a New York Times review of the Tesla Model S, calling it ""fake"" and alleging the reviewer did not fully charge the car and took an unreported detour. The NYT stood by its review, which highlighted concerns about the car's range in cold weather and the scarcity of charging stations, issues that deter many drivers from electric vehicles. Musk argued the article was a ""set up and is unreasonable,"" while the newspaper maintained its account was ""completely factual.""","ABC News - Breaking News, Latest News and Videos",http://abcnews.go.com/blogs/business/2013/02/tesla-calls-nyt-electric-car-review-a-fake
20130220,"Tesla posts revenue of $306 million, larger-than-expected loss","Tesla Motors Inc. reported a larger-than-expected loss of $90 million in the fourth quarter, or 79 cents a share, though its revenue of $306 million surpassed expectations. Despite the financial performance, the company plans to deliver 20,000 Model S units in the current year and aims for profitability. However, challenges persist with production delays for future models and consumer skepticism regarding electric vehicle range and cost competitiveness.",Los Angeles Times,https://www.latimes.com/business/autos/la-fi-hy-autos-tesla-2012-earnings-announced-20130220-story.html
20130226,Tesla Motors focused on improving image after negative New York Times review,"Tesla Motors is strategizing to recover market value and demand after a critical New York Times review of its Model S sedan. CEO Elon Musk estimates the review caused $100 million in lost sales and canceled orders, and the company's shares fell 13 percent since the article's publication. Tesla plans to address the misperception around the Model S's cold weather performance, as its success is crucial for achieving its first adjusted profit since going public.",New York Daily News,https://www.nydailynews.com/2013/02/26/tesla-motors-focused-on-improving-image-after-negative-new-york-times-review/
20130307,"Case Law: Tesla Motors v BBC, Top Gear up before Top Judges – Rosalind English","This article discusses the Court of Appeal's decision to refuse Tesla Motors' appeal against the strike-out of a libel claim against the BBC's ""Top Gear"" programme. The court determined that there was no sufficient prospect of Tesla recovering substantial damages to justify continuing the case to trial, upholding the earlier ruling that the show's review of the Tesla Roadster did not imply malicious falsehood or intentional misleading by Tesla. The judgment emphasizes the principle of proportionality in legal actions, particularly concerning libel claims, and the balance between freedom of speech and protection of reputation.",Inforrm's Blog,https://inforrm.org/2013/03/07/case-law-tesla-motors-v-bbc-top-gear-up-before-top-judges-rosalind-english/
20130312,Tesla repaying Obama admin loan 5 years early,"Tesla Motors Inc. is repaying its $465 million loan from the U.S. Energy Department five years ahead of schedule, with repayment planned by December 2017. This development highlights the success of the Obama administration's investment in the innovative car company, a move that was heavily criticized by Mitt Romney and Paul Ryan during the 2012 presidential election. The article questions whether critics will now reconsider their stance given Tesla's early repayment.",NBC News,https://www.nbcnews.com/news/world/tesla-repaying-obama-admin-loan-5-years-early-flna1c8823565
20130326,"Tesla Now Making, Delivering 500 Model S Electric Cars Weekly","Tesla Motors is reportedly producing and delivering a record average of over 500 Model S electric luxury sedans weekly, a significant increase from its previous target of 400 cars per week. This production rate, confirmed by Tesla's VP George Blankenship and an upstate New York newspaper, suggests the company is now making 2,000 Model S vehicles or more per month, potentially contributing to profitability in the first quarter of the year.",CBS News,https://www.cbsnews.com/baltimore/news/tesla-now-making-delivering-500-model-s-electric-cars-weekly/
20130401,Tesla Motors Pats Itself on the Back,"Tesla Motors announced that its Model S sales exceeded targets, leading to an amendment in its Q1 guidance to full profitability. CEO Elon Musk expressed pride in the team and gratitude to customers, emphasizing that profitability validates the company's place in the electric car revolution. Despite the positive outlook, the article notes skepticism regarding the impressiveness of 4,750 sales.",24/7 Wall St.,https://247wallst.com/autos/2013/04/01/tesla-motors-pats-itself-on-the-back/
20130402,Tesla Motors Partners With Wells Fargo And US Bank To Finance Model S Electric Cars,"Tesla Motors has partnered with Wells Fargo and US Bank to offer a new financing product for its Model S Electric cars, blending ownership with lease-like advantages. This program, personally guaranteed by Elon Musk, aims to make the Model S more accessible by reducing the net out-of-pocket cost to under $500 per month after accounting for tax credits and electricity savings, and offers a guaranteed resale value after three years.",TechCrunch,https://techcrunch.com/2013/04/02/tesla-motors-partners-with-wells-fargo-and-us-bank-to-finance-model-s-electric-cars/
20130509,Tesla Q1 2013: Electric Car Maker Profitable For The Very First Time,"Tesla Motors Inc. reported its first-ever quarterly profit in Q1 2013, exceeding Wall Street expectations by delivering nearly 5,000 Model S electric cars. The company also raised its annual delivery target for the Model S to 21,000 vehicles and saw its shares jump significantly after the announcement. This milestone highlights Tesla's success in a challenging market for other ""green"" car startups.",HuffPost,https://www.huffpost.com/entry/tesla-profits_n_3244814
